query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	COG_ID
FRH_RS04370	1415755.JQLV01000001_gene3583	4.71e-199	551.0	COG3246@1|root,COG3246@2|Bacteria,1MZTP@1224|Proteobacteria,1RRUP@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	quinone reductase	-	-	-	-	-	-	-	-	-	-	-	-	BKACE	COG3246
E2K99_RS10830	1175306.GWL_14970	5.19e-211	588.0	COG1344@1|root,COG1344@2|Bacteria,1MV1N@1224|Proteobacteria,2VJTA@28216|Betaproteobacteria,4746Z@75682|Oxalobacteraceae	28216|Betaproteobacteria	N	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella	fliC	-	-	ko:K02406	ko02020,ko02040,ko04621,ko04626,ko05132,ko05134,map02020,map02040,map04621,map04626,map05132,map05134	-	-	-	ko00000,ko00001,ko02035	-	-	-	Flagellin_C,Flagellin_IN,Flagellin_N	COG1344
E2K99_RS17490	864073.HFRIS_008241	5.5399999999999995e-30	106.0	2C4C6@1|root,33BN9@2|Bacteria,1NISK@1224|Proteobacteria,2VXKQ@28216|Betaproteobacteria,4782E@75682|Oxalobacteraceae	28216|Betaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E2K99_RS22160	1144319.PMI16_02213	2.13e-233	647.0	COG3203@1|root,COG3203@2|Bacteria,1R9DF@1224|Proteobacteria,2VH5X@28216|Betaproteobacteria,4763Q@75682|Oxalobacteraceae	28216|Betaproteobacteria	M	Outer membrane protein (Porin)	-	-	-	-	-	-	-	-	-	-	-	-	Porin_4	COG3203
CH63R_13617	80884.CCF41787	2.8399999999999996e-82	243.0	2E2UI@1|root,2SA0V@2759|Eukaryota,3AAZ7@33154|Opisthokonta,3P8BC@4751|Fungi,3QXSN@4890|Ascomycota,21BQB@147550|Sordariomycetes,1F31U@1028384|Glomerellales	4751|Fungi	S	Sister chromatid cohesion protein Dcc1	-	-	-	-	-	-	-	-	-	-	-	-	Dcc1	-
CH63R_14162	80884.CCF43333	8.92e-194	540.0	COG3752@1|root,KOG4650@2759|Eukaryota,38E42@33154|Opisthokonta,3NUKY@4751|Fungi,3QNNM@4890|Ascomycota,2136Z@147550|Sordariomycetes,1F020@1028384|Glomerellales	4751|Fungi	S	Protein of unknown function (DUF1295)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1295	COG3752
BHE16_RS08120	1452536.JARE01000050_gene2106	1.1e-12	73.9	COG2207@1|root,COG2207@2|Bacteria	2|Bacteria	K	Transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	AraC_binding_2,HTH_18	COG2207
BHE16_RS11755	1121019.AUMN01000003_gene1117	3.32e-157	462.0	COG1472@1|root,COG1472@2|Bacteria,2GM43@201174|Actinobacteria,1W7HF@1268|Micrococcaceae	201174|Actinobacteria	G	Glycosyl hydrolase family 3 N terminal domain	-	-	3.2.1.52	ko:K01207	ko00520,ko00531,ko01100,ko01501,map00520,map00531,map01100,map01501	M00628	R00022,R05963,R07809,R07810,R10831	RC00049	ko00000,ko00001,ko00002,ko01000	-	-	-	Glyco_hydro_3	COG1472
BHE16_RS12100	1276920.ADIAG_00750	7.68e-276	766.0	COG0006@1|root,COG0006@2|Bacteria,2GM7D@201174|Actinobacteria,1W83T@1268|Micrococcaceae	201174|Actinobacteria	E	Belongs to the peptidase M24B family	pepP	-	3.4.11.9	ko:K01262	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	AMP_N,Peptidase_M24	COG0006
GNX71_RS05780	543728.Vapar_1088	1.03e-227	635.0	COG3203@1|root,COG3203@2|Bacteria,1R4KG@1224|Proteobacteria,2VM8D@28216|Betaproteobacteria,4AAWN@80864|Comamonadaceae	28216|Betaproteobacteria	M	Gram-negative porin	-	-	-	-	-	-	-	-	-	-	-	-	Porin_4	COG3203
NUH88_RS20925	1432055.GLUCORHAEAF1_16000	5.9300000000000005e-43	162.0	COG0500@1|root,COG2226@2|Bacteria,1QWA7@1224|Proteobacteria,2TWUC@28211|Alphaproteobacteria,2JQSV@204441|Rhodospirillales	204441|Rhodospirillales	Q	Methyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_12,Methyltransf_31	COG0500
OCK01_RS08010	698761.RTCIAT899_CH05760	5.479999999999999e-128	377.0	COG3203@1|root,COG3203@2|Bacteria,1MXN6@1224|Proteobacteria,2TSH7@28211|Alphaproteobacteria,4B7VS@82115|Rhizobiaceae	28211|Alphaproteobacteria	M	Forms passive diffusion pores that allow small molecular weight hydrophilic materials across the outer membrane	omp2a	-	-	-	-	-	-	-	-	-	-	-	Porin_2	COG3203
TBLA_0G02830	1071379.XP_004181739.1	0.0	1309.0	COG1953@1|root,KOG2466@2759|Eukaryota,38EDM@33154|Opisthokonta,3NWYI@4751|Fungi,3QK47@4890|Ascomycota,3RRPA@4891|Saccharomycetes,3RY7I@4893|Saccharomycetaceae	4751|Fungi	FH	to Saccharomyces cerevisiae FUR4 (YBR021W)	-	GO:0000322,GO:0000323,GO:0000324,GO:0003674,GO:0005215,GO:0005350,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006855,GO:0008150,GO:0008324,GO:0015075,GO:0015205,GO:0015210,GO:0015238,GO:0015291,GO:0015293,GO:0015294,GO:0015318,GO:0015391,GO:0015505,GO:0015851,GO:0015855,GO:0015857,GO:0015893,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0022890,GO:0031224,GO:0034220,GO:0042221,GO:0042493,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0045121,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0072531,GO:0098589,GO:0098655,GO:0098805,GO:0098857,GO:1903791,GO:1904082	-	ko:K03457	-	-	-	-	ko00000	2.A.39	-	-	Transp_cyt_pur	COG1953
DEJ36_RS00005	1150399.AQYK01000001_gene1054	4.36e-20	84.7	COG0640@1|root,COG0640@2|Bacteria,2IKW0@201174|Actinobacteria,4FQR1@85023|Microbacteriaceae	201174|Actinobacteria	K	helix_turn_helix, Arsenical Resistance Operon Repressor	-	-	-	-	-	-	-	-	-	-	-	-	HTH_20,HTH_5	COG0640
K8O88_RS00005	638301.HMPREF0444_0390	7.3e-217	607.0	COG1306@1|root,COG1306@2|Bacteria,1TQZV@1239|Firmicutes,4HAPK@91061|Bacilli,27FSZ@186828|Carnobacteriaceae	91061|Bacilli	S	Putative glycosyl hydrolase domain	-	-	-	-	-	-	-	-	-	-	-	-	DUF4015	COG1306
RTCIAT899_RS18600	698761.RTCIAT899_CH18725	1.5e-247	679.0	COG0407@1|root,COG0407@2|Bacteria,1MUG1@1224|Proteobacteria,2TQQV@28211|Alphaproteobacteria,4B7YQ@82115|Rhizobiaceae	28211|Alphaproteobacteria	H	Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III	hemE	GO:0003674,GO:0003824,GO:0004853,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016829,GO:0016830,GO:0016831,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046148,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	4.1.1.37	ko:K01599	ko00860,ko01100,ko01110,map00860,map01100,map01110	M00121	R03197,R04972	RC00872	ko00000,ko00001,ko00002,ko01000	-	-	-	URO-D	COG0407
Q3V23_RS20075	1223523.H340_05439	4.1200000000000004e-47	151.0	2E6IT@1|root,3315W@2|Bacteria,2GR2R@201174|Actinobacteria	201174|Actinobacteria	S	Domain of unknown function (DUF397)	-	-	-	-	-	-	-	-	-	-	-	-	DUF397	-
Q3V23_RS22655	66429.JOFL01000029_gene5128	1.56e-05	52.8	2A0XT@1|root,30P2Y@2|Bacteria,2ICTE@201174|Actinobacteria	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TERRO_RS01760	926566.Terro_0361	6.71e-284	777.0	COG0303@1|root,COG0303@2|Bacteria,3Y3F0@57723|Acidobacteria,2JICE@204432|Acidobacteriia	204432|Acidobacteriia	H	TIGRFAM molybdenum cofactor synthesis	-	-	2.10.1.1	ko:K03750	ko00790,ko01100,map00790,map01100	-	R09735	RC03462	ko00000,ko00001,ko01000	-	-	-	MoCF_biosynth,MoeA_C,MoeA_N	COG0303
TERRO_RS21745	926566.Terro_0515	0.0	1126.0	28JPX@1|root,2Z9FV@2|Bacteria,3Y48N@57723|Acidobacteria,2JHSH@204432|Acidobacteriia	204432|Acidobacteriia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TERRO_RS15035	926566.Terro_3051	5.09e-302	823.0	COG3182@1|root,COG3182@2|Bacteria,3Y2R7@57723|Acidobacteria,2JIBB@204432|Acidobacteriia	204432|Acidobacteriia	S	PepSY-associated TM region	-	-	-	-	-	-	-	-	-	-	-	-	PepSY_TM	COG3182
F1C15_RS00005	1150399.AQYK01000001_gene1889	1.26e-180	508.0	COG0714@1|root,COG0714@2|Bacteria,2GK07@201174|Actinobacteria,4FMEG@85023|Microbacteriaceae	201174|Actinobacteria	S	ATPase family associated with various cellular activities (AAA)	-	-	-	ko:K03924	-	-	-	-	ko00000,ko01000	-	-	-	AAA_3	COG0714
CXB49_RS00005	243365.CV_2657	3.07e-08	62.4	2FD66@1|root,34588@2|Bacteria,1P24H@1224|Proteobacteria,2W4V5@28216|Betaproteobacteria	28216|Betaproteobacteria	S	Metallo-peptidase family M12B Reprolysin-like	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FOC43_RS05065	1367491.BN865_16030c	2.22e-120	344.0	COG0250@1|root,COG0250@2|Bacteria,1MU14@1224|Proteobacteria,42MPQ@68525|delta/epsilon subdivisions,2YMJK@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	K	Participates in transcription elongation, termination and antitermination	nusG	-	-	ko:K02601	-	-	-	-	ko00000,ko03009,ko03021	-	-	-	KOW,NusG	COG0250
EL337_RS00005	350058.Mvan_0001	7.210000000000001e-296	814.0	COG0593@1|root,COG0593@2|Bacteria,2GJKI@201174|Actinobacteria,232TF@1762|Mycobacteriaceae	201174|Actinobacteria	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006163,GO:0006164,GO:0006172,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009133,GO:0009135,GO:0009136,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009179,GO:0009180,GO:0009185,GO:0009188,GO:0009259,GO:0009260,GO:0009987,GO:0016020,GO:0016311,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0030312,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0034654,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046031,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0090304,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990837	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C	COG0593
GSQ62_RS20600	1123277.KB893195_gene5571	3.56e-159	510.0	COG1361@1|root,COG3103@1|root,COG1361@2|Bacteria,COG3103@2|Bacteria,4NT9E@976|Bacteroidetes,47QTN@768503|Cytophagia	976|Bacteroidetes	M	Domain of unknown function (DUF4157)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4157	COG1361
MPE_RS22830	420662.Mpe_A2951	8.1e-316	863.0	COG0515@1|root,COG0515@2|Bacteria,1MV1P@1224|Proteobacteria,2VKJ8@28216|Betaproteobacteria,1KJBY@119065|unclassified Burkholderiales	28216|Betaproteobacteria	KLT	Protein tyrosine kinase	-	-	2.7.11.1	ko:K12132	-	-	-	-	ko00000,ko01000,ko01001	-	-	-	PEGA,Pkinase	COG0515
MPE_RS17820	420662.Mpe_A3526	0.0	1295.0	COG3211@1|root,COG3211@2|Bacteria,1MU8T@1224|Proteobacteria,2VK2V@28216|Betaproteobacteria,1KK57@119065|unclassified Burkholderiales	28216|Betaproteobacteria	S	Bacterial protein of unknown function (DUF839)	-	-	-	ko:K07093	-	-	-	-	ko00000	-	-	-	DUF839	COG3211
GWR21_RS31290	485918.Cpin_4789	2.11e-46	178.0	COG3209@1|root,COG3209@2|Bacteria,4NE5D@976|Bacteroidetes,1IP6I@117747|Sphingobacteriia	976|Bacteroidetes	M	YD repeat protein	-	-	-	-	-	-	-	-	-	-	-	-	LRR_8,TSP_3	COG3209
GWR21_RS00695	1237149.C900_03392	4.750000000000001e-184	544.0	COG3408@1|root,COG3408@2|Bacteria,4NF09@976|Bacteroidetes,47M96@768503|Cytophagia	976|Bacteroidetes	G	Glycogen debranching enzyme	-	-	-	-	-	-	-	-	-	-	-	-	GDE_C,GDE_N	COG3408
LZF85_RS01535	261292.Nit79A3_0807	0.0	1110.0	COG3303@1|root,COG3303@2|Bacteria,1P8CP@1224|Proteobacteria,2W61W@28216|Betaproteobacteria,371TC@32003|Nitrosomonadales	28216|Betaproteobacteria	C	anaerobic respiration	-	GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0006091,GO:0006807,GO:0008150,GO:0008152,GO:0009061,GO:0009987,GO:0015975,GO:0015980,GO:0016491,GO:0016661,GO:0016663,GO:0019329,GO:0019331,GO:0034641,GO:0042597,GO:0044237,GO:0044281,GO:0044464,GO:0045333,GO:0047991,GO:0055114	1.7.2.6	ko:K10535	ko00910,ko01120,map00910,map01120	M00528,M00804	R10164	RC00383	ko00000,ko00001,ko00002,ko01000	-	-	-	Multi-haem_cyto	COG3303
LZF85_RS04780	1131553.JIBI01000004_gene445	3.36e-89	266.0	arCOG08699@1|root,30TCX@2|Bacteria,1RDPE@1224|Proteobacteria,2WAZQ@28216|Betaproteobacteria,371U8@32003|Nitrosomonadales	28216|Betaproteobacteria	C	PFAM Ammonia monooxygenase particulate methane monooxygenase, subunit C	-	-	-	ko:K10946	ko00680,ko00910,ko01100,ko01120,ko01200,map00680,map00910,map01100,map01120,map01200	M00174,M00528,M00804	R00148,R09518	RC00173,RC02797	ko00000,ko00001,ko00002	-	-	-	AmoC	-
LZF85_RS05875	1121396.KB892906_gene4226	3.84e-07	58.5	2DK8S@1|root,308W6@2|Bacteria,1NEC2@1224|Proteobacteria,433GW@68525|delta/epsilon subdivisions,2WYEB@28221|Deltaproteobacteria,2MP8H@213118|Desulfobacterales	28221|Deltaproteobacteria	S	PEP-CTERM motif	-	-	-	-	-	-	-	-	-	-	-	-	VPEP	-
LZF85_RS05950	261292.Nit79A3_2335	4.02e-242	667.0	COG2132@1|root,COG2132@2|Bacteria,1MV74@1224|Proteobacteria,2VK95@28216|Betaproteobacteria,372U4@32003|Nitrosomonadales	28216|Betaproteobacteria	Q	Multicopper oxidase	nirK	-	1.3.3.5,1.7.2.1	ko:K00368,ko:K08100	ko00860,ko00910,ko01110,ko01120,map00860,map00910,map01110,map01120	M00529	R00783,R00785,R02394	RC00086,RC01983	ko00000,ko00001,ko00002,ko01000	-	-	-	Copper-bind,Cu-oxidase,Cu-oxidase_2,Cu-oxidase_3,Cytochrome_CBB3	COG2132
LZF85_RS08185	153948.NAL212_2303	7.75e-132	377.0	arCOG08699@1|root,30TCX@2|Bacteria,1RDPE@1224|Proteobacteria,2WAZQ@28216|Betaproteobacteria,371U8@32003|Nitrosomonadales	28216|Betaproteobacteria	C	PFAM Ammonia monooxygenase particulate methane monooxygenase, subunit C	-	-	-	ko:K10946	ko00680,ko00910,ko01100,ko01120,ko01200,map00680,map00910,map01100,map01120,map01200	M00174,M00528,M00804	R00148,R09518	RC00173,RC02797	ko00000,ko00001,ko00002	-	-	-	AmoC	-
LZF85_RS13865	261292.Nit79A3_0471	7.79e-168	469.0	arCOG08699@1|root,30TCX@2|Bacteria,1RDPE@1224|Proteobacteria,2WAZQ@28216|Betaproteobacteria,371U8@32003|Nitrosomonadales	28216|Betaproteobacteria	C	PFAM Ammonia monooxygenase particulate methane monooxygenase, subunit C	-	-	-	ko:K10946	ko00680,ko00910,ko01100,ko01120,ko01200,map00680,map00910,map01100,map01120,map01200	M00174,M00528,M00804	R00148,R09518	RC00173,RC02797	ko00000,ko00001,ko00002	-	-	-	AmoC	-
ISU00_RS12880	746697.Aeqsu_2232	1.62e-102	302.0	COG0500@1|root,COG0500@2|Bacteria,4PMN8@976|Bacteroidetes,1IMVH@117743|Flavobacteriia	976|Bacteroidetes	Q	Methionine biosynthesis protein MetW	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_23	COG0500
SNE_RS03790	331113.SNE_A06630	0.0	906.0	COG1538@1|root,COG1538@2|Bacteria,2JG14@204428|Chlamydiae	204428|Chlamydiae	MU	Outer membrane efflux protein	-	-	-	-	-	-	-	-	-	-	-	-	OEP	COG1538
LDO37_RS00795	1238450.VIBNISOn1_200024	8.189999999999999e-180	504.0	COG1295@1|root,COG1295@2|Bacteria,1QICW@1224|Proteobacteria,1RMKI@1236|Gammaproteobacteria,1XUTA@135623|Vibrionales	135623|Vibrionales	S	membrane	rbn	-	-	ko:K07058	-	-	-	-	ko00000	-	-	-	Virul_fac_BrkB	COG1295
LDO37_RS02440	1366050.N234_09830	2.5199999999999998e-42	150.0	COG3542@1|root,COG3542@2|Bacteria	2|Bacteria	G	PFAM Cupin superfamily (DUF985)	-	-	-	ko:K09705	-	-	-	-	ko00000	-	-	-	Cupin_5	COG3542
